term,gloss,forms,occurrences
"spread out","spread out",153,2444
"rotten","rotten",120,2435
"unexpected","contrary to expectation",23,2433
"bristle","chaeta (""chitinous bristle"").",285,2432
"houseleek","The houseleek",10,2430
"cyrus","Cyrus",733,2426
"chaon","Chaon",658,2426
"diminutive","Diminutive suffix.",205,2424
"daphne","Daphne",121,2416
"labor pains","pangs or throes of childbirth (mostly in plural)",322,2409
"discus","a discus, quoit",302,2408
"to wrestle","to wrestle",484,2405
"feather-shaped","feather-shaped",299,2397
"thyme","thyme",38,2396
"goldflower","gold-flower (Helichrysum italicum)",2,2395
"dan","Dan",657,2393
"having many-flowers","having many-flowers",4,2390
"seatable","suitable as a seat",85,2390
"cosenus","a river in Mauretania, mentioned by Pliny",661,2390
"nasal","Of the nose.",236,2388
"spherical","spherical, globular",30,2386
"botanical","Pertaining to or derived from plants.",104,2385
"flower medicine","a medicine made from flowers",227,2384
"weaponry","arms, weapons of war, weaponry, instruments (implements of warfare)",206,2383
"iron hoop","iron hoop",111,2370
"aristocrat","A Macedonian aristocrat and friend of Alexander the Great",27,2359
"suitable","suitable, adapted",287,2354
"ivy","ivy (Hedera helix)",367,2350
"emmer","a kind of hulled wheat of the genus Triticum: emmer, farro, or spelt",231,2349
"earthquake","A kind of earthquake",460,2349
"cotys","a male given name, Cotys, from Thracian, the name of two kings of the Sapaei",584,2347
"drin","the river Drin, in Albania",162,2338
"sea-eagle","sea-eagle",741,2337
"round-leaved","Having round leaves",13,2336
"cylindrical","cylindrical",20,2335
"radiated","radiated",141,2335
"thong","lorum, thong",184,2333
"dried fig","dried fig",250,2331
"crowned","crowned",113,2330
"broken apart","broken apart",71,2325
"bugloss","A kind of bugloss",434,2322
"having seen","aorist active participle of ὁράω (horáō) and εἶδον (eîdon)",300,2310
"irus","In the Odyssey, Irus, a nickname of Arnaeus the beggar, given to him by the suitors of Penelope.",402,2307
"intelligent","intelligent, gifted with understanding",589,2303
"greek","of or pertaining to Greece, Grecian",463,2302
"landlady","a female tavern-keeper",385,2301
"togo","Togo (a country in West Africa)",302,2301
"elaeus","The southernmost city of Chersonesus in Thrace",450,2298
"three-coloured","three-coloured",27,2291
"dryad","a woodnymph, a dryad (a nymph whose life is bound up with that of her tree)",197,2283
"elecampane","another name of the plant ἑλένιον (helénion)",772,2281
"multicolored","particoloured; of various colours; that changes its colour",23,2273
"riverbank","bank, riverbank, dyke by the side of a river (either natural or artificial)",123,2270
"somewhat long","somewhat long",5,2268
"thong","leather strap or thong",460,2268
"doubling","a doubling, a folding",327,2265
"serf","serf or bondsman",298,2263
"balcony","balcony, especially in an amphitheatre",50,2260
"superlative","Added to adjective stems to form superlative forms",326,2256
"acornlet","a little acorn",260,2256
"weel","a narrow-necked basket for catching fish, weel",100,2250
"alder","alder (tree)",177,2250
"afar","over a distance",382,2250
"cuckoopint","cuckoopint (Arum italicum)",281,2242
"sift","sieve, riddle, winnow",129,2242
"persian","Persian; of Persia",70,2240
"starry","starry, starred; stellate",143,2234
"omphale","Omphale, a woman in Greek mythology",177,2234
"darius","Darius",550,2233
"plantain","the plantain, especially the greater plantain (Plantago major)",8,2230
"oblique","sidelong, slanting, awry, oblique",45,2228
"poppy","opium poppy (Papaver somniferum)",241,2227
"withered","dry, withered, shriveled",204,2225
"atys","Atys",320,2219
"booty","booty; plunder",441,2217
"oglio","One of the most important rivers of Gallia Cisalpina that flows into the Padus, now the Oglio",453,2209
"gangue","The earth that envelops the ore",7,2208
"will know","second-person singular future middle indicative of οἶδᾰ (oîdă)",474,2208
"amazon","an Amazon",64,2207
"marasmus","marasmus",27,2205
"be absent","to be away, to be absent, to be distant",408,2191
"obovate","egg-shaped with the narrow end at the base",52,2190
"sorb","the sorb apple, fruit of the service tree",478,2188
"spacious","wide, spacious, roomy",16,2185
"beech tree","beech tree",177,2182
"to devour","to devour",867,2182
"otho","Otho; Otto",417,2181
"broad-leaved","broad-leaved",7,2178
"sour wine","sour wine",8,2174
"tonsillitis","tonsillitis",395,2173
"enantiomeric","enantiomeric",164,2172
"asia","Asia (the largest continent, located between Europe and the Pacific Ocean)",500,2172
"lupine","Of or pertaining to a wolf.",27,2169
"warrior","a warrior mentioned in the Aeneid",401,2166
"hyena","hyena",235,2165
"vigor","vigor, liveliness, activity",219,2163
"nemesis","vengeance of the gods for transgressing divine laws",292,2163
"averse","that cannot bear; avoiding, fleeing",21,2160
"river usk","River Usk",438,2159
"having risen","having risen",425,2155
"small-eyed","having small eyes",182,2151
"not even","not even, not at all",402,2148
"same-coloured","of the same colour or faction",21,2147
"iberian","Iberian, an inhabitant of the Iberian Peninsula",156,2144
"garland","wreath, garland, chaplet",112,2144
"went","third-person singular aorist active indicative of βαίνω (baínō)",319,2141
"nut-brown","nut-brown",290,2136
"pear","a pear-tree",648,2133
"neleus","The king of Pylus and father of Nestor",450,2132
"tibial","tibial; of or pertaining to the tibia (shin bone)",153,2128
"comparative","A title in a hierarchy which indicates a higher degree of rank than its root word.",271,2127
"bilateral","on both sides",357,2120
"fortress","A mountain fortress or town of Thrace",654,2119
"porcini","porcini, an edible kind of mushroom (the most valued kind)",58,2118
"moorish","Of or pertaining to the Moors.",166,2118
"northern","northern, arctic",21,2117
"chasm","hollow, chasm, gulf",314,2117
"swim away","to swim out, swim away, escape by swimming",389,2107
"burnt","burnt, inflamed",499,2107
"chine","chine, lower part of the back",135,2106
"gemstone","An unknown kind of precious stone",205,2104
"something double","something double",256,2102
"granular","granular (formed of small grains); granulated",120,2097
"daughter-in-law","daughter-in-law",358,2097
"be in","to be in, to be on",442,2094
"pleasant","charming, pleasant, agreeable, amenable",55,2093
"nourishing","nourishing",486,2091
"plough","to plough, till; to cultivate land, farm; to acquire by tillage",556,2091
"argive","of Argos, Argive",91,2089
"footlet","A little foot.",38,2071
"lioness","a lioness",501,2069
"abdomen","the large hollow or cavity of the body, belly, abdomen, stomach",130,2068
"varicose vein","a varicose vein",399,2063
"stephen","a male given name, equivalent to English Stephen",266,2057
"dipped","impregnated with, dipped in",420,2054
"mill","A mill, a hand-mill turned by women.",242,2049
"pomegranate","pomegranate (tree and fruit)",225,2047
"gnat","gnat or winged ant",96,2044
"tilos","Telos; Tilos, Dodecanese, Greece",85,2038
"standing apart","standing apart",154,2037
"opal","opal",280,2034
"eaten","eaten away, devoured, having been eaten away",99,2030
"hoary","quite grey; hoary",15,2029
"granule","granule (small grain)",327,2029
"lentil","lentil (Lens culinaris) and its seed",138,2026
"snowflake","snowflake",183,2024
"stood","third-person singular aorist active indicative unaugmented of ἵστημι (hístēmi, ""stand"")",224,2023
"lech","A river of Vindelicia that flows into the Danubius, now the Lech",521,2021
"solar","Concerning the sun.",241,2019
"coeus","Coeus, son of Uranus and Gaia; father of Leto",467,2019
"noxious beast","animal of which the bite is dangerous, noxious beast",293,2014
"ichneumon","an Egyptian animal of the weasel-kind, which hunts out crocodile's eggs (asp's eggs), ichneumon, Herpestes ichneumon",30,2013
"circular","round, circular",156,2012
"stooping","bent forward, stooping, hunchbacked",111,2009
"super","A syncopic variant of super-.",302,2008
"praenomen","A feminine praenomen.",480,2005
"hebe","Hebe",155,2004
"imprinted","pressed, printed, imprinted, stamped, impressed",145,2000
"alpine","Alpine",29,1995
"lyre","lyre, lute",177,1993
"flood tide","flood tide",353,1992
"grasshopper","cricket, grasshopper",290,1991
"goddess","goddess",327,1989
"pickled fish","the Nile-fish coracinus after being pickled",222,1988
"canadian","Canadian",13,1987
"unequal","unequal",107,1986
"troad","Troad",351,1985
"lesser celandine","lesser celandine (Ficaria verna)",190,1982
"ionic","Ionic Greek (dialect of Ancient Greek)",287,1980
"thera","Thira, Santorini (an island, a dormant volcano in Greece)",300,1978
"caterpillar","a caterpillar of a vine moth (Eupoecilia ambiguella), which wraps itself up in the leaves of the vine",6,1977
"samos","Samos",374,1975
"egg-shaped","egg-shaped",375,1973
"thistle","kind of thistle",21,1972
"sambre","The river Sambre, or the river Selle (Somme tributary).",305,1972
"toad","toad",169,1971
"heath","heath, broom (plant)",257,1968
"anvil","anvil",473,1967
"with me","with me",248,1967
"suture","a sewing together; seam, stitch, suture",247,1965
"spatula","spatula, spattle",306,1965
"ryegrass","ryegrass, darnel (Lolium temulentum)",334,1964
"fissure","a cleft, chink; a fissure",85,1962
"therein","and therein",379,1961
"verpus","verpus",263,1961
"fallow","A fallow deer",402,1960
"mallow","mallow",141,1959
"dewfall","dewfall",184,1959
"lindos","Lindos, an ancient city on the island of Rhodes",227,1957
"atrium","a welcoming room in a Roman villa; reception hall, main court",361,1957
"syme","Syme (an island of the Dodecanese, Greece)",227,1954
"thistle","a wild thistle",134,1948
"second","second",74,1948
"legging","greave; legging",106,1946
"jar","bottle, jar, jug",307,1945
"elongated","elongated",194,1941
"two-thirds","two-thirds, or a two-thirds part of any unit",282,1941
"viviparous","that brings forth its young alive, viviparous",33,1940
"crown","diadem, tiara, headdress (especially one worn by Persian kings)",149,1939
"emulation","zeal, emulation",273,1939
"ann","a female given name, equivalent to English Ann",305,1937
"bolivia","Bolivia (a country in South America)",66,1934
"anoint","to daub, besmear, anoint",319,1934
"crown","top of the head, crown",180,1932
"corselet","corselet",119,1931
"behavior","manner (of behaving), way (of behaving); behavior, conduct",366,1927
"pickaxe","kind of quarrying tool, perhaps a pickaxe",302,1926
"crested lark","crested lark (Galerida cristata)",55,1925
"nearby","near, nearby, neighboring",50,1925
"dilated","extended, dilated",72,1922
"tyne","The river Tyne in England",496,1921
"knottiness","nodosity, knottiness",359,1919
"cnemis","A range of mountains forming the boundary between Phocis and Locris",220,1917
"asiatic","Asiatic",34,1916
"lichen","a cryptogamic species of vegetation growing on trees, lichen",104,1915
"basket","basket; basketful",85,1915
"groundsel","groundsel (Senecio vulgaris)",26,1914
"deltoid","Relating to the deltoid muscles.",132,1914
"dor","a town in Phoenicia situated near Mount Carmel",222,1913
"mycene","Mycene (daughter of Inachus, king of Argos)",9,1912
"assembly","a gathering, an assembly",196,1910
"beet","A beet.",401,1908
"gaia","Gaia or Gaea, the Earth personified as a goddess",435,1906
"linen-weaver","linen-weaver",40,1903
"sebesten","sebesten (fruit)",69,1903
"cardoon","cardoon (Cynara cardunculus)",135,1901
"grasshopper","Hesychius gives the definition as: ἀκρίς (akrís, ""grasshopper, locust"").",193,1896
"pine cone","pine cone",485,1896
"unlike","unlike, dissimilar, different, disparate, unequal",52,1894
"sack","a sack, bag",396,1893
"three each","three each",304,1889
"germander","germander",6,1886
"favouring","favouring",244,1880
"moat","moat, defensive enclosure",413,1879
"psi","psi, the name for the twenty-third letter Ψ, ψ of the Ancient Greek alphabet.",351,1879
"marbled","marbled, covered or encrusted with marble.",29,1878
"dodder","greater dodder (Cuscuta europaea)",9,1876
"eulaeus","a river in Susiana, mentioned by Pliny",348,1875
"knobby","knotty, knobby",89,1868
"picarel","blotched picarel (Spicara maena)",141,1867
"quarrel","quarrel; wrangle; strife",405,1866
"july","Loios, the name of a Macedonian month corresponding to July",473,1862
"minho","A river in Gallaecia, now the Minho river",726,1862
"papua","Papua (a the southern part of what is now called Papua New Guinea, formerly administered as a separate territory to New Guinea)",185,1861
"posterior","in the back, behind, rear, posterior",213,1860
"wickerwork","wickerwork",156,1857
"he-goat","he-goat",88,1853
"scum","scum, foam which forms on the surface of wine, or other liquids left to stand",104,1853
"late-born","late-born",176,1849
"beget","to beget, give birth to",218,1842
"assembly","assembly of people (in Doric states, answering to Attic ἐκκλησία (ekklēsía))",188,1838
"worn out","old, worn out, thrown off",91,1837
"bellows","pair of bellows; smithies",113,1837
"rhipe","Rhipe, Arcadia, Greece",184,1835
"femininizes","femininizes masculine nouns in the first declension",142,1831
"ath","Ath (a city in Hainaut, Wallonia, Belgium)",206,1831
"psoas","psoas",220,1831
"tumour","A tumour.",221,1827
"dacian","a Dacian, a Dacian man or person, a Dacian tribesman",226,1826
"sir","sir, lord (form of address)",415,1826
"humerus","the humerus bone",167,1823
"cloak","cloak",203,1823
"kos","Kos, an island in the Dodecanese",520,1819
"island town","a town in Caria situated on a small island",119,1817
"visible","Appearing; visible; seeming.",197,1816
"saffron","crocus, saffron",244,1815
"vine branch","vine branch",32,1809
"scarlet","Coloured or dyed scarlet",14,1809
"elm","elm",149,1807
"aloe","The aloe.",31,1806
"hanse","Hanse: a commercial association of Scottish free burghs; their legal privileges and monopolies.",542,1805
