term,occurrences,missing
"acropolis",55,"acropolis"
"biosphere",55,"biosphere"
"endorsement",55,"endorsement"
"quadrilateral",54,"quadrilateral"
"sorcerer",54,"sorcerer"
"industrial",54,"industrial"
"micro-",54,"micro"
"rya",54,"rya"
"russet",54,"russet"
"academic",54,"academic"
"cigarette",54,"cigarette"
"anklet",54,"anklet"
"belongings",54,"belongings"
"inclining",54,"inclining"
"curliness",54,"curliness"
"tohono oʼodham",54,"tohono oʼodham"
"realist typeface",54,"realist typeface"
"aloe vera",54,"vera"
"prefect",54,"prefect"
"infantryman",54,"infantryman"
"marsh-meadow",53,"marsh"
"unfortunate",53,"unfortunate"
"hoopoe",53,"hoopoe"
"perimeter",53,"perimeter"
"living room",53,"living"
"lecture",53,"lecture"
"gallows",53,"gallows"
"cinder",53,"cinder"
"vicar",53,"vicar"
"picket",53,"picket"
"importance",53,"importance"
"overrefined",53,"overrefined"
"amole",53,"amole"
"lolita",53,"lolita"
"more southerly",53,"southerly"
"taxi",53,"taxi"
"delight",53,"delight"
"prudent",53,"prudent"
"compass",53,"compass"
"groin",52,"groin"
"licorice root",52,"licorice"
"castigated",52,"castigated"
"desperate",52,"desperate"
"irrational",52,"irrational"
"sediment",52,"sediment"
"rickets",52,"rickets"
"chassis",52,"chassis"
"drizzle",52,"drizzle"
"aguapanela",52,"aguapanela"
"crevasse",52,"crevasse"
"compartment",52,"compartment"
"hippodrome",52,"hippodrome"
"steakhouse",52,"steakhouse"
"telecom",52,"telecom"
"committee",52,"committee"
"score",52,"score"
"to appease",51,"appease"
"pistol",51,"pistol"
"raw silk",51,"raw"
"hastening",51,"hastening"
"hemispherical",51,"hemispherical"
"coccyx",51,"coccyx"
"first phalanx",51,"first phalanx"
"tuco",51,"tuco"
"misery",51,"misery"
"eurasian siskin",51,"eurasian siskin"
"kiosk",51,"kiosk"
"veranda",51,"veranda"
"scoter",51,"scoter"
"abscissa",50,"abscissa"
"placed underneath",50,"underneath"
"semicircle",50,"semicircle"
"paternal uncle",50,"paternal"
"volley",50,"volley"
"riel",50,"riel"
"ballad",50,"ballad"
"talc",50,"talc"
"diplomat",50,"diplomat"
"lumberjack",50,"lumberjack"
"indoor",50,"indoor"
"pavlova",50,"pavlova"
"galician manor",50,"galician"
"pegmatite",50,"pegmatite"
"roman tunic",50,"roman"
"whispering",50,"whispering"
"chapter",50,"chapter"
"al-andalus",49,"al andalus"
"stimulating",49,"stimulating"
"roaming",49,"roaming"
"photo-",49,""
"hydrangea",49,"hydrangea"
"mojarra",49,"mojarra"
"hoodlums",49,"hoodlums"
"nectar",48,"nectar"
"unwavering",48,"unwavering"
"circumcised",48,"circumcised"
"antecedent",48,"antecedent"
"sporadic",48,"sporadic"
"naval",48,"naval"
"kestrel",48,"kestrel"
"engraver",48,"engraver"
"stubborn",48,"stubborn"
"bustle",48,"bustle"
"worn out",48,"worn"
"defeating",48,"defeating"
"jararaca",48,"jararaca"
"-philia",48,"philia"
"perlite",48,"perlite"
"pivot",48,"pivot"
"chinchilla",48,"chinchilla"
"pregnancy",48,"pregnancy"
"cunningly wrought",47,"cunningly wrought"
"reclining",47,"reclining"
"tragic",47,"tragic"
"ulna",47,"ulna"
"bra",47,"bra"
"shaman",47,"shaman"
"to amble",47,"amble"
"burgundy wine",47,"burgundy"
"malt mash",47,"malt mash"
"mistral",47,"mistral"
"necropolis",47,"necropolis"
"pump",47,"pump"
"bivouac",47,"bivouac"
"destined",46,"destined"
"grouse",46,"grouse"
"dyed twice",46,"twice"
"fleeing",46,"fleeing"
"subdivided",46,"subdivided"
"arene",46,"arene"
"rancid",46,"rancid"
"raki",46,"raki"
"galley",46,"galley"
"imbecile",46,"imbecile"
"pusta",46,"pusta"
"abbé",46,"abbé"
"benign",46,"benign"
"index",46,"index"
"lackey",46,"lackey"
"portobello",46,"portobello"
"art museum",46,"museum"
"alcove",46,"alcove"
"harem",46,"harem"
"parka",46,"parka"
"hostess",46,"hostess"
"nausea",45,"nausea"
"led astray",45,"led astray"
"upbringing",45,"upbringing"
"repurchased",45,"repurchased"
"capitation tax",45,"capitation"
"wherever",45,"wherever"
