term,occurrences,forms
pythodorus,1,1
joachim,1,1
rudiae,1,1
panaro,1,1
sophaenetus,1,1
sophocles,1,1
spalahores,1,1
algidum,1,1
tabalus,1,1
jason,1,1
thapsacene,1,1
inhabitant,1,1
theramenes,1,1
tiraeus,1,1
tiribazus,1,1
assoro,1,1
vercelli,1,1
st albans,1,1
besançon,1,1
narnia,1,1
artabes,1,1
xenocleides,1,1
forty-one,1,1
